depth,n_tree,learning_rate,cut_off,accuracy,recall,f1,overall_score
3,100,0.001,0.25,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.3,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.35,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.4,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.45,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.5,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.1,0.05,0.5661016949152542,1.0,0.7205240174672489,0.7622085707941677
5,100,0.1,0.1,0.5813559322033899,0.9878787878787879,0.7252502780867631,0.7648283327229803
5,100,0.1,0.15,0.6016949152542372,0.9636363636363636,0.7301951779563719,0.7651754856156576
5,100,0.1,0.2,0.6169491525423729,0.9363636363636364,0.7322274881516587,0.7618467590192227
5,100,0.1,0.25,0.6322033898305085,0.9121212121212121,0.7350427350427351,0.7597891123314852
5,100,0.1,0.3,0.6508474576271186,0.8909090909090909,0.7405541561712846,0.760770234902498
5,100,0.1,0.35,0.6627118644067796,0.8575757575757575,0.7398692810457517,0.753385634342763
5,100,0.1,0.4,0.6610169491525424,0.803030303030303,0.726027397260274,0.7300248831477064
5,100,0.1,0.45,0.6644067796610169,0.7757575757575758,0.7211267605633802,0.720430371993991
5,100,0.1,0.5,0.6711864406779661,0.7424242424242424,0.7163742690058479,0.7099949840360188
5,100,0.01,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.01,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.01,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.01,0.2,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.01,0.25,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.01,0.3,0.5796610169491525,0.9939393939393939,0.7256637168141592,0.7664213759009019
5,100,0.01,0.35,0.6169491525423729,0.9666666666666667,0.7384259259259259,0.7740139150449886
5,100,0.01,0.4,0.6610169491525424,0.9181818181818182,0.7518610421836228,0.7770199365059945
5,100,0.01,0.45,0.6847457627118644,0.8606060606060606,0.753315649867374,0.7662224910617663
5,100,0.01,0.5,0.6949152542372882,0.8090909090909091,0.7478991596638657,0.7506351076640209
5,100,0.001,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.2,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.25,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.3,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.35,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.4,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.45,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.001,0.5,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
7,100,0.1,0.05,0.5779661016949152,0.990909090909091,0.7242524916943522,0.7643758947661196
7,100,0.1,0.1,0.6101694915254238,0.9696969696969697,0.7356321839080459,0.7718328817101465
7,100,0.1,0.15,0.6220338983050847,0.9424242424242424,0.736094674556213,0.7668509384285134
7,100,0.1,0.2,0.635593220338983,0.9121212121212121,0.7368421052631579,0.7615188459077844
7,100,0.1,0.25,0.6508474576271186,0.8848484848484849,0.7392405063291139,0.7583121496015724
7,100,0.1,0.3,0.652542372881356,0.8424242424242424,0.7306176084099868,0.7418614079051951
7,100,0.1,0.35,0.6491525423728813,0.803030303030303,0.7191316146540027,0.7237714866857291
7,100,0.1,0.4,0.6491525423728813,0.7545454545454545,0.7063829787234043,0.7033603252139135
7,100,0.1,0.45,0.6491525423728813,0.7303030303030303,0.6995645863570391,0.6930067196776503
7,100,0.1,0.5,0.6559322033898305,0.7090909090909091,0.6974664679582712,0.6874965268130037
7,100,0.01,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
7,100,0.01,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
7,100,0.01,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
7,100,0.01,0.2,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
7,100,0.01,0.25,0.5677966101694916,1.0,0.7213114754098361,0.7630360285264426
7,100,0.01,0.3,0.5966101694915255,0.9878787878787879,0.7325842696629215,0.7723577423444116
