depth,n_tree,learning_rate,cut_off,accuracy,recall,f1,overall_score
5,100,0.001,0.4,0.6864406779661016,0.8454545454545455,0.7510094212651413,0.7609682148952629
5,100,0.001,0.45,0.6966101694915254,0.8090909090909091,0.7489481065918653,0.7515497283914332
5,100,0.001,0.5,0.6983050847457627,0.7757575757575758,0.7420289855072465,0.7386972153368617
7,100,0.1,0.05,0.6084745762711864,0.9666666666666667,0.7341772151898733,0.7697728193759087
7,100,0.1,0.1,0.6186440677966102,0.9212121212121213,0.7298919567827131,0.7565827152638148
7,100,0.1,0.15,0.6152542372881356,0.8757575757575757,0.7180124223602484,0.7363414118019866
7,100,0.1,0.2,0.6237288135593221,0.8484848484848485,0.7161125319693095,0.72944206467116
7,100,0.1,0.25,0.6135593220338983,0.8090909090909091,0.7007874015748031,0.7078125442332035
7,100,0.1,0.3,0.6186440677966102,0.7727272727272727,0.6938775510204083,0.695082963848097
7,100,0.1,0.35,0.6372881355932203,0.7545454545454545,0.699438202247191,0.6970905974619553
7,100,0.1,0.4,0.6372881355932203,0.7333333333333333,0.6934097421203439,0.688010403682299
7,100,0.1,0.45,0.6254237288135593,0.7,0.6764275256222547,0.6672837514786046
7,100,0.1,0.5,0.611864406779661,0.6575757575757576,0.6546003016591252,0.6413468220048478
7,100,0.01,0.05,0.6220338983050847,0.9303030303030303,0.7335722819593787,0.7619697368558312
7,100,0.01,0.1,0.6406779661016949,0.9090909090909091,0.7389162561576355,0.7628950437834131
7,100,0.01,0.15,0.6474576271186441,0.8757575757575757,0.7353689567430026,0.7528613865397409
7,100,0.01,0.2,0.6559322033898305,0.8666666666666667,0.7380645161290323,0.7535544620618432
7,100,0.01,0.25,0.6644067796610169,0.8393939393939394,0.7367021276595744,0.7468342822381769
7,100,0.01,0.3,0.6694915254237288,0.8212121212121212,0.7354138398914517,0.7420391621757673
7,100,0.01,0.35,0.6627118644067796,0.793939393939394,0.7247579529737206,0.7271364037732981
7,100,0.01,0.4,0.6542372881355932,0.7575757575757576,0.7102272727272727,0.7073467728128744
7,100,0.01,0.45,0.652542372881356,0.7151515151515152,0.6971935007385525,0.6882957962571412
7,100,0.01,0.5,0.6610169491525424,0.7,0.6978851963746223,0.6863007151757216
7,100,0.001,0.05,0.6016949152542372,0.8939393939393939,0.7151515151515151,0.7369286081150488
7,100,0.001,0.1,0.6050847457627119,0.8727272727272727,0.7119901112484548,0.7299340432461464
7,100,0.001,0.15,0.6220338983050847,0.8515151515151516,0.7159235668789808,0.7298242055664056
7,100,0.001,0.2,0.6288135593220339,0.8454545454545455,0.7181467181467182,0.7308049409744325
7,100,0.001,0.25,0.635593220338983,0.8454545454545455,0.721862871927555,0.7343035459070277
7,100,0.001,0.3,0.6406779661016949,0.8242424242424242,0.7195767195767196,0.7281657033069462
7,100,0.001,0.35,0.6423728813559322,0.8,0.7144790257104193,0.7189506356887838
7,100,0.001,0.4,0.6372881355932203,0.7545454545454545,0.699438202247191,0.6970905974619553
7,100,0.001,0.45,0.652542372881356,0.7393939393939394,0.7041847041847041,0.6987070054866664
7,100,0.001,0.5,0.6474576271186441,0.6909090909090909,0.6867469879518073,0.6750379019931808
9,100,0.1,0.05,0.6305084745762712,0.8181818181818182,0.712401055408971,0.7203637827223535
9,100,0.1,0.1,0.6305084745762712,0.7878787878787878,0.7046070460704607,0.7076647695085065
9,100,0.1,0.15,0.6271186440677966,0.7636363636363637,0.696132596685083,0.6956292014630812
9,100,0.1,0.2,0.6338983050847458,0.7515151515151515,0.6966292134831461,0.6940142233610144
9,100,0.1,0.25,0.6322033898305085,0.7393939393939394,0.6921985815602837,0.6879319702615772
9,100,0.1,0.3,0.6338983050847458,0.7363636363636363,0.6923076923076922,0.6875232112520248
9,100,0.1,0.35,0.6305084745762712,0.7272727272727273,0.6876790830945559,0.6818200949811848
9,100,0.1,0.4,0.6271186440677966,0.7181818181818181,0.6829971181556196,0.6760991934684114
9,100,0.1,0.45,0.6271186440677966,0.7121212121212122,0.6811594202898551,0.6734664254929545
9,100,0.1,0.5,0.6271186440677966,0.703030303030303,0.6783625730994153,0.6695038400658383
