cut_off,accuracy,recall,f1,overall_score
0.25,0.6338983050847458,0.9636363636363636,0.7464788732394366,0.7813378473201821
0.3,0.6440677966101694,0.9424242424242424,0.7475961538461539,0.7780293976268552
0.35,0.6627118644067796,0.9121212121212121,0.7515605493133583,0.7754645419471168
0.4,0.6898305084745763,0.8818181818181818,0.7607843137254902,0.7774776680060828
0.45,0.6898305084745763,0.8424242424242424,0.7523680649526387,0.7615409386171524
0.5,0.6864406779661016,0.803030303030303,0.7412587412587411,0.7435765740850485
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5796610169491525,1.0,0.7268722466960351,0.7688444212150625
0.15,0.6101694915254238,0.996969696969697,0.740990990990991,0.7827100598287039
0.2,0.6322033898305085,0.9878787878787879,0.7502876869965477,0.7901232882352813
0.25,0.652542372881356,0.9696969696969697,0.757396449704142,0.7932119307608225
0.3,0.6796610169491526,0.9363636363636364,0.7657992565055762,0.7939413032727884
0.35,0.7237288135593221,0.9242424242424242,0.7891332470892626,0.8123681616303363
0.4,0.7372881355932204,0.8909090909090909,0.791386271870794,0.8065278327910351
0.45,0.7237288135593221,0.8303030303030303,0.7707454289732769,0.7749257576118764
0.5,0.7288135593220338,0.7696969696969697,0.7604790419161677,0.7529965236450571
