,game_id,season,game_type,week,gameday,weekday,gametime,gametime_hour,gametime_minute,away_team,away_score,home_team,home_score,location,result,total,overtime,pfr,espn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,referee,stadium_id,stadium,outdoor,grass,playoff,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win,home_afterbye,away_afterbye,tie
1839,2017_16_SEA_DAL,2017,REG,16,12/24/2017,Sunday,16:25,16,25,SEA,21,DAL,12,Home,-9,33,0,201712240dal,400951709,7,7,191,-213,4.5,-105,-105,47,-117,106,0,closed,matrixturf,70,0,00-0029263,00-0033077,John Hussey,DAL00,AT&T Stadium,0,0,0,11,0.09,15,0.02,0,0,0,0
1840,2017_16_PIT_HOU,2017,REG,16,12/25/2017,Monday,16:30,16,30,PIT,34,HOU,6,Home,-28,40,0,201712250htx,400951714,8,8,-400,346,-8,-103,-107,45.5,-104,-106,0,closed,astroturf,70,0,00-0022924,00-0028090,Bill Vinovich,HOU00,NRG Stadium,0,0,0,26,-0.18,4,0.26,0,0,0,0
1841,2017_16_OAK_PHI,2017,REG,16,12/25/2017,Monday,20:30,20,30,OAK,10,PHI,19,Home,9,29,0,201712250phi,400951719,8,8,361,-420,10,-107,-103,46,-103,-107,0,outdoors,grass,29,15,00-0031280,00-0029567,Ron Torbert,PHI00,Lincoln Financial Field,1,1,0,5,0.24,20,-0.09,1,0,0,0
1842,2017_17_GB_DET,2017,REG,17,12/31/2017,Sunday,13:00,13,0,GB,11,DET,35,Home,24,46,0,201712310det,400951741,8,7,277,-315,7.5,-114,103,45,-105,-105,1,dome,fieldturf,70,0,00-0031589,00-0026498,Peter Morelli,DET00,Ford Field,0,0,0,12,0.09,17,-0.05,1,0,0,0
1843,2017_17_HOU_IND,2017,REG,17,12/31/2017,Sunday,13:00,13,0,HOU,13,IND,22,Home,9,35,0,201712310clt,400951745,6,8,201,-230,5.5,-108,-102,42,-102,-108,1,closed,fieldturf,70,0,00-0028090,00-0033119,Gene Steratore,IND00,Lucas Oil Stadium,0,0,0,30,-0.24,26,-0.18,1,0,0,0
1844,2017_17_CHI_MIN,2017,REG,17,12/31/2017,Sunday,13:00,13,0,CHI,10,MIN,23,Home,13,33,0,201712310min,400951750,7,8,581,-750,13.5,-123,111,38,-100,-110,1,dome,sportturf,70,0,00-0033869,00-0028986,Craig Wrolstad,MIN01,U.S. Bank Stadium,0,0,0,2,0.29,25,-0.17,1,0,0,0
1845,2017_17_NYJ_NE,2017,REG,17,12/31/2017,Sunday,13:00,13,0,NYJ,6,NE,26,Home,20,32,0,201712310nwe,400951756,7,7,851,-1400,17,-120,109,43.5,-117,106,1,outdoors,fieldturf,13,14,00-0031568,00-0019596,Brad Allen,BOS00,Gillette Stadium,1,0,0,6,0.22,27,-0.19,1,0,0,0
1846,2017_17_WAS_NYG,2017,REG,17,12/31/2017,Sunday,13:00,13,0,WAS,10,NYG,18,Home,8,28,0,201712310nyg,400951757,7,7,-230,201,-5,-113,102,41,-108,-102,1,outdoors,fieldturf,16,16,00-0029604,00-0022803,John Hussey,NYC01,MetLife Stadium,1,0,0,31,-0.25,16,-0.03,1,0,0,0
1847,2017_17_DAL_PHI,2017,REG,17,12/31/2017,Sunday,13:00,13,0,DAL,6,PHI,0,Home,-6,6,0,201712310phi,400951759,7,6,-200,176,-3.5,-113,102,41,-101,-109,1,outdoors,grass,19,17,00-0033077,00-0032792,John Parry,PHI00,Lincoln Financial Field,1,1,0,5,0.24,11,0.09,0,0,0,0
1848,2017_17_CLE_PIT,2017,REG,17,12/31/2017,Sunday,13:00,13,0,CLE,24,PIT,28,Home,4,52,0,201712310pit,400951762,7,6,184,-210,5,-113,102,38.5,111,-123,1,outdoors,grass,11,3,00-0033899,00-0030524,Jerome Boger,PIT00,Heinz Field,1,1,0,4,0.26,32,-0.29,1,0,0,0
