away_moneyline,home_moneyline,spread_line,home_spread_odds,total_line,temp,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win
222,-250,6.0,101,44.0,70,7,0.17,14,0.05,1
207,-232,4.5,-106,45.0,42,15,0.01,16,0.0,1
201,-225,6.0,105,45.0,58,12,0.07,9,0.13,0
1125,-1700,17.0,-105,46.5,33,4,0.22,27,-0.18,1
-190,171,-4.0,-105,55.0,70,10,0.13,2,0.26,0
264,-300,7.0,100,45.5,70,13,0.06,18,-0.02,1
159,-176,3.0,-120,38.5,53,8,0.14,6,0.18,1
416,-490,10.0,100,44.0,70,7,0.17,29,-0.2,1
244,-275,6.5,100,38.5,57,17,-0.01,25,-0.15,1
-178,160,-3.5,-113,46.5,70,32,-0.35,20,-0.04,0
-265,235,-6.0,100,37.0,75,28,-0.2,5,0.2,0
385,-450,9.5,-106,42.5,60,11,0.12,23,-0.1,1
127,-140,1.0,-130,40.0,70,31,-0.33,26,-0.17,0
153,-170,3.0,-108,43.5,47,14,0.05,30,-0.27,1
127,-140,3.0,104,40.5,59,22,-0.09,15,0.01,1
127,-140,3.0,104,37.0,52,19,-0.02,21,-0.08,0
-143,129,-3.0,-115,50.5,63,9,0.13,4,0.22,0
188,-210,4.5,100,42.5,84,16,0.0,24,-0.13,0
-500,423,-10.5,-110,41.5,32,27,-0.18,3,0.22,0
273,-310,7.0,-103,51.0,70,1,0.29,12,0.07,1
-157,142,-3.0,-102,43.5,38,19,-0.02,9,0.13,1
-103,-107,1.0,-101,43.5,57,23,-0.1,14,0.05,0
338,-390,9.0,101,35.0,46,15,0.01,27,-0.18,0
-119,108,-1.0,104,38.5,70,5,0.2,7,0.17,1
152,-168,3.5,110,43.0,80,18,-0.02,22,-0.09,1
118,-130,1.0,-125,37.5,70,29,-0.2,24,-0.13,0
1300,-2400,20.5,-104,48.5,51,4,0.22,32,-0.35,1
281,-320,7.0,-101,43.5,59,3,0.22,17,-0.01,1
-135,122,-1.0,115,45.5,79,30,-0.27,20,-0.04,0
-168,152,-3.0,102,38.5,53,21,-0.08,11,0.12,0
-291,257,-7.0,-115,38.5,54,25,-0.15,8,0.14,0
-200,180,-4.0,-103,46.5,70,26,-0.17,13,0.06,1
-295,260,-7.0,-108,53.5,52,12,0.07,2,0.26,0
638,-800,14.0,-111,38.5,53,6,0.18,31,-0.33,1
301,-345,9.5,-104,55.0,70,1,0.29,10,0.13,1
-162,146,-3.0,100,39.5,67,28,-0.2,16,0.0,0
816,-1100,14.0,-103,40.0,31,3,0.22,25,-0.15,1
925,-1350,16.5,-103,41.5,43,8,0.14,32,-0.35,1
-145,131,-3.0,-119,48.0,43,20,-0.04,7,0.17,0
126,-139,2.5,-114,37.5,34,17,-0.01,5,0.2,0
423,-500,10.0,-105,48.0,70,10,0.13,29,-0.2,1
-146,132,-3.0,-119,41.5,58,28,-0.2,30,-0.27,1
118,-130,3.0,115,44.5,75,18,-0.02,9,0.13,0
461,-550,10.5,-102,35.5,37,11,0.12,27,-0.18,1
-175,158,-3.5,-119,47.5,41,14,0.05,1,0.29,0
-321,282,-7.5,-115,46.5,40,21,-0.08,4,0.22,0
-165,149,-3.5,-121,39.0,70,26,-0.17,6,0.18,1
153,-170,3.5,108,35.0,50,24,-0.13,15,0.01,1
558,-684,11.5,-107,49.5,43,2,0.26,22,-0.09,1
272,-309,7.0,-104,49.5,59,16,0.0,23,-0.1,1
192,-214,4.5,-107,48.5,70,13,0.06,12,0.07,0
