depth,n_tree,cut_off,accuracy,recall,f1,overall_score
9,100,0.2,0.5983050847457627,0.9757575757575757,0.7309875141884222,0.7683500582305869
9,100,0.25,0.6186440677966102,0.9484848484848485,0.7356051703877791,0.7675780288897459
9,100,0.3,0.6440677966101694,0.9212121212121213,0.7432762836185819,0.7695187338136242
9,100,0.35,0.6644067796610169,0.8818181818181818,0.7461538461538462,0.764126269211015
9,100,0.4,0.6864406779661016,0.8545454545454545,0.7530040053404539,0.7646633792840033
9,100,0.45,0.6864406779661016,0.8151515151515152,0.7441217150760719,0.7485713027312295
9,100,0.5,0.6813559322033899,0.7575757575757576,0.7267441860465116,0.7218919586085529
3,300,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,300,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,300,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,300,0.2,0.576271186440678,0.996969696969697,0.724669603524229,0.7659701623115346
3,300,0.25,0.5966101694915255,0.9757575757575757,0.7301587301587302,0.7675088251359439
3,300,0.3,0.6169491525423729,0.9636363636363636,0.7378190255220418,0.7728015139002595
3,300,0.35,0.6389830508474577,0.9484848484848485,0.7461263408820024,0.7778647467381029
3,300,0.4,0.6508474576271186,0.8818181818181818,0.7385786802030457,0.7570814398827821
3,300,0.45,0.6796610169491526,0.8212121212121212,0.7414500683994527,0.7474410688535755
3,300,0.5,0.6830508474576271,0.7363636363636363,0.7221396731054978,0.7138513856422537
5,300,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,300,0.1,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
5,300,0.15,0.5728813559322034,0.996969696969697,0.7230769230769231,0.7643093253262744
5,300,0.2,0.5932203389830508,0.9878787878787879,0.7309417040358744,0.7706802769659045
5,300,0.25,0.6050847457627119,0.9696969696969697,0.7331042382588775,0.7692953179061863
5,300,0.3,0.6237288135593221,0.9424242424242424,0.7369668246445498,0.7677066268760381
5,300,0.35,0.6542372881355932,0.9,0.7443609022556391,0.7661993967970774
5,300,0.4,0.676271186440678,0.8545454545454545,0.7470198675496689,0.7592788361786004
5,300,0.45,0.6898305084745763,0.8181818181818182,0.7468879668049792,0.7516334311537912
5,300,0.5,0.7016949152542373,0.7696969696969697,0.7426900584795321,0.738027314476913
7,300,0.05,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
7,300,0.1,0.5677966101694916,0.996969696969697,0.7207009857612267,0.761822430966805
7,300,0.15,0.5813559322033899,0.996969696969697,0.72707182320442,0.7684658174591691
7,300,0.2,0.5966101694915255,0.9787878787878788,0.7307692307692307,0.768722426349545
7,300,0.25,0.6152542372881356,0.9636363636363636,0.7369640787949016,0.7719515599064669
7,300,0.3,0.6406779661016949,0.9272727272727272,0.7427184466019418,0.7702230466587879
7,300,0.35,0.6711864406779661,0.8939393939393939,0.7525510204081634,0.7725589516751744
7,300,0.4,0.6847457627118644,0.8515151515151516,0.751336898395722,0.7625326042075793
7,300,0.45,0.6949152542372882,0.8242424242424242,0.7513812154696133,0.7568462979831084
7,300,0.5,0.6779661016949152,0.7545454545454545,0.7238372093023255,0.7187829218475651
9,300,0.05,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
9,300,0.1,0.5728813559322034,0.996969696969697,0.7230769230769231,0.7643093253262744
9,300,0.15,0.5847457627118644,0.9939393939393939,0.7280799112097668,0.7689216892870084
9,300,0.2,0.5983050847457627,0.9787878787878788,0.7315968289920726,0.769563264175238
9,300,0.25,0.611864406779661,0.9454545454545454,0.731535756154748,0.7629515694629848
9,300,0.3,0.6322033898305085,0.9121212121212121,0.7350427350427351,0.7597891123314852
9,300,0.35,0.6694915254237288,0.8878787878787879,0.7503201024327785,0.7692301385784317
9,300,0.4,0.6830508474576271,0.8454545454545455,0.7489932885906041,0.7591662271675922
9,300,0.45,0.688135593220339,0.8181818181818182,0.7458563535911603,0.7507245883311059
9,300,0.5,0.6949152542372882,0.7696969696969697,0.7383720930232557,0.7343281056525045
3,500,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,500,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,500,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,500,0.2,0.576271186440678,0.9939393939393939,0.7240618101545253,0.7647574635115323
3,500,0.25,0.5983050847457627,0.9727272727272728,0.7303754266211604,0.7671359280313986
3,500,0.3,0.6135593220338983,0.9606060606060606,0.7354988399071926,0.7698880741823838
3,500,0.35,0.6423728813559322,0.9484848484848485,0.7479091995221028,0.7795889764542944
3,500,0.4,0.6508474576271186,0.8787878787878788,0.7379134860050891,0.7558496074733622
3,500,0.45,0.6796610169491526,0.8242424242424242,0.7421555252387448,0.7486863221434406
3,500,0.5,0.6864406779661016,0.7454545454545455,0.7267355982274741,0.7195436072160405
5,500,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,500,0.1,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
5,500,0.15,0.5728813559322034,0.996969696969697,0.7230769230769231,0.7643093253262744
5,500,0.2,0.5915254237288136,0.990909090909091,0.7307262569832403,0.7710535905403816
5,500,0.25,0.6033898305084746,0.9696969696969697,0.7322654462242563,0.7684507488099003
5,500,0.3,0.6186440677966102,0.9393939393939394,0.7337278106508875,0.763921939280479
5,500,0.35,0.6576271186440678,0.9030303030303031,0.7468671679197995,0.7691748631980567
5,500,0.4,0.6830508474576271,0.8575757575757575,0.751660026560425,0.7640955438646033
5,500,0.45,0.6966101694915254,0.8242424242424242,0.7524204702627938,0.7577576879989145
5,500,0.5,0.6966101694915254,0.7636363636363637,0.7379209370424598,0.7327224900567829
7,500,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
7,500,0.1,0.5694915254237288,0.996969696969697,0.7214912280701754,0.7626508168212004
7,500,0.15,0.5813559322033899,0.9939393939393939,0.7264673311184939,0.7672542190870925
7,500,0.2,0.5949152542372881,0.9787878787878788,0.7299435028248589,0.7678822119500085
7,500,0.25,0.6067796610169491,0.9575757575757575,0.7314814814814814,0.7652789666913961
7,500,0.3,0.635593220338983,0.9363636363636364,0.7418967587034815,0.7712845384687004
7,500,0.35,0.6677966101694915,0.8939393939393939,0.7506361323155217,0.7707907121414691
7,500,0.4,0.688135593220339,0.8545454545454545,0.7540106951871657,0.765563914317653
7,500,0.45,0.6847457627118644,0.8212121212121212,0.7445054945054945,0.7501544594764934
7,500,0.5,0.6932203389830508,0.7696969696969697,0.737300435413643,0.7334059146978879
9,500,0.05,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
9,500,0.1,0.5694915254237288,0.996969696969697,0.7214912280701754,0.7626508168212004
9,500,0.15,0.5915254237288136,0.996969696969697,0.731924360400445,0.7734731603663185
9,500,0.2,0.5949152542372881,0.9757575757575757,0.7293318233295584,0.7666682177748073
9,500,0.25,0.6084745762711864,0.9515151515151515,0.7310826542491269,0.7636907940118216
9,500,0.3,0.6423728813559322,0.9242424242424242,0.7429963459196102,0.7698705505059888
9,500,0.35,0.6677966101694915,0.8878787878787879,0.7493606138107416,0.7683453372863404
9,500,0.4,0.6813559322033899,0.8515151515151516,0.7493333333333334,0.7607348056839583
9,500,0.45,0.688135593220339,0.8151515151515152,0.7451523545706371,0.7494798209808304
9,500,0.5,0.6898305084745763,0.7666666666666667,0.7343976777939042,0.7302982843117157
3,1000,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,1000,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,1000,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,1000,0.2,0.5745762711864407,0.9939393939393939,0.7232635060639472,0.7639263903965938
3,1000,0.25,0.6,0.9727272727272728,0.7312072892938496,0.7679781873403742
3,1000,0.3,0.6169491525423729,0.9606060606060606,0.7372093023255814,0.7715881718246717
3,1000,0.35,0.635593220338983,0.9454545454545454,0.7437425506555422,0.7749301054830235
3,1000,0.4,0.6559322033898305,0.8848484848484849,0.7420584498094028,0.7609463793492394
3,1000,0.45,0.6813559322033899,0.8181818181818182,0.7417582417582418,0.7470986640478167
3,1000,0.5,0.688135593220339,0.7424242424242424,0.7270029673590506,0.7191876010012107
